"GEOID","NAME","median_incomeE","year"
"1748424","Meredosia village, Illinois",35000,2015
"1779358","Waverly city, Illinois",47375,2015
"1745850","McNabb village, Illinois",70833,2015
"1702206","Armington village, Illinois",41875,2015
"1749555","Minier village, Illinois",50000,2015
"1721696","East Dundee village, Illinois",57813,2015
"1722931","Elburn village, Illinois",95708,2015
"1732525","Hampshire village, Illinois",93775,2015
"1724348","Equality village, Illinois",41034,2015
"1752506","New Haven village, Illinois",35809,2015
"1737894","Island Lake village, Illinois",69833,2015
"1747527","Matherville village, Illinois",44233,2015
"1778123","Viola village, Illinois",58088,2015
"1736516","Hull village, Illinois",40647,2015
"1739922","Kinderhook village, Illinois",58281,2015
"1749477","Milton village, Illinois",43125,2015
"1730250","Golden Gate village, Illinois",NA,2015
"1718459","Dalzell village, Illinois",53750,2015
"1747150","Marseilles city, Illinois",37589,2015
"1750530","Morrison city, Illinois",44577,2015
"1772546","Sterling city, Illinois",39679,2015
"1745525","McClure village, Illinois",32917,2015
"1718147","Curran village, Illinois",36429,2015
"1700178","Adair CDP, Illinois",NA,2015
"1701647","Apple Canyon Lake CDP, Illinois",73750,2015
"1707315","Boody CDP, Illinois",81250,2015
"1728950","Georgetown CDP, Illinois",67143,2015
"1701556","Annapolis CDP, Illinois",NA,2015
"1718771","Dayton CDP, Illinois",63750,2015
"1702635","Astoria town, Illinois",33750,2015
"1704403","Beason CDP, Illinois",34000,2015
"1712879","Chemung CDP, Illinois",NA,2015
"1713230","Chestnut CDP, Illinois",50125,2015
"1715950","Como CDP, Illinois",72639,2015
"1716431","Cornland CDP, Illinois",61944,2015
"1729340","Gilson CDP, Illinois",NA,2015
"1717094","Crab Orchard CDP, Illinois",39333,2015
"1718641","Darmstadt CDP, Illinois",NA,2015
"1726467","Floraville CDP, Illinois",NA,2015
"1730705","Grand Detour CDP, Illinois",82875,2015
"1733162","Harrison CDP, Illinois",38750,2015
"1734272","Heritage Lake CDP, Illinois",98544,2015
"1735541","Holiday Shores CDP, Illinois",81463,2015
"1740364","Knollwood CDP, Illinois",82619,2015
"1740962","Lake Camelot CDP, Illinois",105795,2015
"1741157","Lake Holiday CDP, Illinois",77879,2015
"1705976","Big Rock village, Illinois",76250,2015
"1749100","Millbrook village, Illinois",86250,2015
"1750062","Monroe Center village, Illinois",73333,2015
"1761216","Port Barrington village, Illinois",114750,2015
"1783349","Woodstock city, Illinois",56355,2015
"1782725","Witt city, Illinois",43472,2015
"1750751","Mound City city, Illinois",25515,2015
"1743094","Lexington city, Illinois",68224,2015
"1780060","West Chicago city, Illinois",69071,2015
"1737803","Irwin village, Illinois",61250,2015
"1706613","Bloomington city, Illinois",62254,2015
"1708446","Broadview village, Illinois",52873,2015
"1717549","Creve Coeur village, Illinois",42350,2015
"1758447","Pekin city, Illinois",48862,2015
"1772156","Spring Valley city, Illinois",43583,2015
"1767925","Scales Mound village, Illinois",43750,2015
"1708472","Broadwell village, Illinois",42500,2015
"1723269","Elkhart village, Illinois",57813,2015
"1729145","Gifford village, Illinois",59000,2015
"1707471","Bourbonnais village, Illinois",63624,2015
"1704303","Beach Park village, Illinois",68811,2015
"1732018","Gurnee village, Illinois",86849,2015
"1728248","Gages Lake CDP, Illinois",86370,2015
"1758265","Payson village, Illinois",45170,2015
"1726194","Fisher village, Illinois",56420,2015
"1741105","Lake Forest city, Illinois",155792,2015
"1753455","North Barrington village, Illinois",151250,2015
"1727455","Fox Lake Hills CDP, Illinois",65000,2015
"1734865","Highwood city, Illinois",50750,2015
"1722151","Easton village, Illinois",41250,2015
"1733513","Havana city, Illinois",34557,2015
"1746383","Manito village, Illinois",58295,2015
"1763043","Red Bud city, Illinois",60511,2015
"1772468","Steeleville village, Illinois",53667,2015
"1701543","Anna city, Illinois",38320,2015
"1744927","Louisville village, Illinois",38563,2015
"1769810","Sibley village, Illinois",39750,2015
"1783505","Worden village, Illinois",53945,2015
"1730926","Granite City city, Illinois",45357,2015
"1702609","Assumption city, Illinois",33843,2015
"1715001","Clinton city, Illinois",44490,2015
"1745278","Lyndon village, Illinois",52083,2015
"1763069","Redmon village, Illinois",50313,2015
"1738349","Jeisyville village, Illinois",41250,2015
"1757472","Pana city, Illinois",32399,2015
"1702557","Ashmore village, Illinois",51902,2015
"1707263","Bonnie village, Illinois",42404,2015
"1751726","Nason city, Illinois",28472,2015
"1730835","Grandview village, Illinois",39063,2015
"1764486","Riverton village, Illinois",55602,2015
"1771474","Spaulding village, Illinois",83333,2015
"1781854","Williamsville village, Illinois",84342,2015
"1752155","New Bedford village, Illinois",51250,2015
"1755379","Ohio village, Illinois",55625,2015
"1727624","Frankfort village, Illinois",111152,2015
"1744225","Lockport city, Illinois",78522,2015
"1759052","Peotone village, Illinois",78506,2015
"1743133","Liberty village, Illinois",41964,2015
"1743445","Lima village, Illinois",44625,2015
"1735814","Homer village, Illinois",50474,2015
"1741346","Lake of the Woods CDP, Illinois",37460,2015
"1745174","Ludlow village, Illinois",39583,2015
"1723256","Elk Grove Village village, Illinois",68527,2015
"1729730","Glendale Heights village, Illinois",59947,2015
"1727858","Freeman Spur village, Illinois",49375,2015
"1736815","Hurst city, Illinois",30000,2015
"1778656","Walshville village, Illinois",41250,2015
"1745616","McCullom Lake village, Illinois",48750,2015
"1746786","Marengo city, Illinois",57955,2015
"1720318","Donnellson village, Illinois",32917,2015
"1774561","Taylor Springs village, Illinois",40208,2015
"1764044","Ridott village, Illinois",39792,2015
"1723737","El Paso city, Illinois",46893,2015
"1728300","Galena city, Illinois",48537,2015
"1753195","Nora village, Illinois",51875,2015
"1723971","Emden village, Illinois",52143,2015
"1781165","Whiteash CDP, Illinois",43438,2015
"1747592","Maunie village, Illinois",38750,2015
"1753403","Norris City village, Illinois",37000,2015
"1774470","Tampico village, Illinois",36061,2015
"1717406","Crescent City village, Illinois",47500,2015
"1747280","Martinton village, Illinois",54688,2015
"1760209","Pittsburg village, Illinois",35625,2015
"1766794","St. Elmo city, Illinois",32708,2015
"1706171","Bishop Hill village, Illinois",47344,2015
"1708576","Brookfield village, Illinois",74875,2015
"1710487","Calumet City city, Illinois",38557,2015
"1734514","Hickory Hills city, Illinois",58709,2015
"1748242","Melrose Park village, Illinois",45459,2015
"1757394","Palos Hills city, Illinois",55666,2015
"1763706","Richton Park village, Illinois",53132,2015
"1748554","Merrionette Park village, Illinois",46016,2015
"1753000","Niles village, Illinois",51660,2015
"1754820","Oak Lawn village, Illinois",56185,2015
"1759572","Phoenix village, Illinois",31117,2015
"1753585","North City village, Illinois",55052,2015
"1780333","West Frankfort city, Illinois",33784,2015
"1778526","Walnut village, Illinois",50714,2015
"1764018","Ridgway village, Illinois",36458,2015
"1724543","Eureka city, Illinois",55337,2015
"1739038","Kappa village, Illinois",51964,2015
"1720370","Dorchester village, Illinois",47656,2015
"1734423","Hettick village, Illinois",58281,2015
"1751024","Mount Olive city, Illinois",48843,2015
"1772403","Staunton city, Illinois",41523,2015
"1710448","Calhoun village, Illinois",35625,2015
"1734007","Henderson village, Illinois",48542,2015
"1713165","Chesterfield village, Illinois",56250,2015
"1768406","Scottville village, Illinois",60313,2015
"1718563","Danville city, Illinois",34756,2015
"1769914","Sigel town, Illinois",52500,2015
"1715170","Coal City village, Illinois",64659,2015
"1717458","Crest Hill city, Illinois",50629,2015
"1719837","Diamond village, Illinois",64833,2015
"1727644","Frankfort Square CDP, Illinois",89763,2015
"1751622","Naperville city, Illinois",109468,2015
"1765442","Romeoville village, Illinois",70471,2015
"1783245","Woodridge village, Illinois",77182,2015
"1746110","Magnolia village, Illinois",45750,2015
"1722164","East Peoria city, Illinois",50877,2015
"1735307","Hinsdale village, Illinois",162722,2015
"1778929","Warrenville city, Illinois",75517,2015
"1765897","Rosiclare city, Illinois",19955,2015
"1710292","Cabery village, Illinois",38393,2015
"1724452","Essex village, Illinois",62500,2015
"1730991","Grant Park village, Illinois",60536,2015
"1715495","Colfax village, Illinois",56500,2015
"1772260","Stanford village, Illinois",56875,2015
"1751479","Murrayville village, Illinois",36875,2015
"1736126","Hopedale village, Illinois",50333,2015
"1747111","Marquette Heights city, Illinois",66875,2015
"1711358","Carpentersville village, Illinois",58008,2015
"1753442","North Aurora village, Illinois",78948,2015
"1727533","Fox River Grove village, Illinois",96102,2015
"1733851","Hebron village, Illinois",49500,2015
"1738479","Johnsburg village, Illinois",98879,2015
"1776706","Union village, Illinois",64688,2015
"1733357","Harvel village, Illinois",40556,2015
"1776615","Ullin village, Illinois",20781,2015
"1773943","Sun River Terrace village, Illinois",23906,2015
"1712931","Chenoa city, Illinois",51958,2015
"1720643","Downs village, Illinois",66563,2015
"1731732","Gridley village, Illinois",63125,2015
"1775822","Towanda village, Illinois",52813,2015
"1783336","Woodson village, Illinois",53438,2015
"1750010","Monmouth city, Illinois",36067,2015
"1750790","Mound Station village, Illinois",67813,2015
"1733279","Hartford village, Illinois",41667,2015
"1776199","Troy city, Illinois",69137,2015
"1716366","Cordova village, Illinois",65815,2015
"1749867","Moline city, Illinois",49528,2015
"1766040","Round Lake Beach village, Illinois",61159,2015
"1766066","Round Lake Park village, Illinois",42355,2015
"1777694","Vernon Hills village, Illinois",92201,2015
"1771240","South Roxana village, Illinois",41000,2015
"1754703","Oak Grove village, Illinois",26944,2015
"1763420","Reynolds village, Illinois",52813,2015
"1771448","Sparta city, Illinois",37264,2015
"1721605","East Cape Girardeau village, Illinois",35167,2015
"1708992","Brownstown village, Illinois",45625,2015
"1762627","Ramsey village, Illinois",39438,2015
"1709317","Buckley village, Illinois",41563,2015
"1714468","Cissna Park village, Illinois",37411,2015
"1710630","Cambria village, Illinois",34167,2015
"1750244","Monticello city, Illinois",71859,2015
"1738869","Kane village, Illinois",33750,2015
"1764811","Rockbridge village, Illinois",37059,2015
"1756978","Otterville town, Illinois",23438,2015
"1721358","Dwight village, Illinois",60049,2015
"1744576","Long Point village, Illinois",51094,2015
"1761015","Pontiac city, Illinois",47805,2015
"1748645","Metropolis city, Illinois",31875,2015
"1718225","Cutler village, Illinois",42125,2015
"1708953","Browning village, Illinois",50000,2015
"1711176","Carbon Hill village, Illinois",47708,2015
"1747397","Maryville village, Illinois",80500,2015
"1752415","New Douglas village, Illinois",56563,2015
"1701426","Andalusia village, Illinois",65637,2015
"1717077","Coyne Center CDP, Illinois",66048,2015
"1715807","Colp village, Illinois",32143,2015
"1765104","Rock Island Arsenal CDP, Illinois",57321,2015
